ident(String),type(String),name(String),elevation_ft(Integer),continent(String),iso_country(String),iso_region(String),municipality(String),gps_code(String),local_code(String),coordinates(String)
82TS,small_airport,Elmdale Airpark,1775,NA,US,US-TX,Abilene,82TS,82TS,"32.450099945068, -99.650398254395"
82TX,heliport,St Joseph Hospital Heliport,320,NA,US,US-TX,Bryan,82TX,82TX,"30.657100677490234, -96.34750366210938"
82VA,small_airport,Root Field,1290,NA,US,US-VA,Verona,82VA,82VA,"38.17319869995117, -78.96920013427734"
82WA,heliport,Kittitas Valley Healthcare Heliport,1597,NA,US,US-WA,Ellensburg,82WA,82WA,"46.9876555, -120.5378194"
82WI,small_airport,Triple S Ranch Airport,855,NA,US,US-WI,Whitelaw,82WI,82WI,"44.149200439453125, -87.81439971923828"
82XS,small_airport,Circle P Ranch Airport,500,NA,US,US-TX,Floresville,82XS,82XS,"29.102699279785156, -98.2166976928711"
83AK,small_airport,Tolovana Hot Springs Airport,800,NA,US,US-AK,Fairbanks,83AK,83AK,"65.25650024414062, -148.8300018310547"
83B,seaplane_base,Presque Isle Seaplane Base,500,NA,US,US-ME,Presque Isle,,83B,"46.7075, -68.061096"
83CA,heliport,The Met Heliport,204,NA,US,US-CA,Costa Mesa,83CA,83CA,"33.688469, -117.877966"
83CO,heliport,Snake River Health Services Inc Heliport,9300,NA,US,US-CO,Keystone,83CO,83CO,"39.60419845581055, -105.95899963378906"
83FD,small_airport,Lake Montaza Airport,52,NA,US,US-FL,Okeechobee,83FD,83FD,"27.580299377441406, -80.81529998779297"
83FL,small_airport,Nassau Airport,20,NA,US,US-FL,Yulee,83FL,83FL,"30.618799209594727, -81.53369903564453"
83GA,small_airport,Brock Airpark,130,NA,US,US-GA,Bainbridge,83GA,83GA,"30.99970054626465, -84.506103515625"
83IA,heliport,Keokuk County Health Center Heliport,753,NA,US,US-IA,Sigourney,83IA,83IA,"41.3224983215332, -92.20549774169922"
83IL,small_airport,Oltman-Shuck Airport,736,NA,US,US-IL,Minonk,83IL,83IL,"40.892799377441406, -89.10399627685547"
83IN,small_airport,Goodenough Airport,685,NA,US,US-IN,Peru,83IN,83IN,"40.73979949951172, -86.00050354003906"
83IS,small_airport,Prairie Airport,550,NA,US,US-IL,Irvington,83IS,83IS,"38.42639923095703, -89.1312026977539"
83J,small_airport,Coastal Airport,110,NA,US,US-FL,Pensacola,83J,83J,"30.53190040588379, -87.38529968261719"
83KS,small_airport,Miller Aeroplane Field,1020,NA,US,US-KS,Wamego,83KS,83KS,"39.23529815673828, -96.29969787597656"
83KY,heliport,Works Heliport,800,NA,US,US-KY,Erlanger,83KY,83KY,"38.98109817504883, -84.5447006225586"
83L,heliport,Southeast Superior Court Heliport,235,NA,US,US-CA,Norwalk,83L,83L,"33.91360092163086, -118.072998046875"
83LA,closed,Ledet Airfield,,NA,US,US-LA,Cut Off,,,"29.5555, -90.329498"
